t,nodes,edges,degre_moyen,taille_composante_geante,longueur_moyenne_chemins,coefficient_clustering,efficacite_globale,efficacite_locale,scenario
24,77,1849,28.675324675324674,1.0,1.946343130553657,0.7282400077996828,0.6432306415389202,0.846844643219582,panne_aleatoire
25,76,1836,28.105263157894736,1.0,1.9536842105263157,0.7261025034017852,0.6413074352548112,0.8455466992535714,panne_aleatoire
26,75,1820,27.30666666666667,0.9866666666666667,1.9052202887819327,0.7294003457478326,0.6306486486486562,0.8496247458700434,panne_aleatoire
27,74,1811,26.83783783783784,0.9864864864864865,1.9117199391171993,0.7305789490757187,0.6289707515734981,0.8500080588138629,panne_aleatoire
28,73,1801,26.63013698630137,0.9863013698630136,1.9025821596244132,0.7301244107658077,0.6308282597666229,0.8495817399373643,panne_aleatoire
29,72,1776,25.694444444444443,0.9861111111111112,1.9211267605633804,0.7271852278785143,0.6251890975482594,0.8478335356931281,panne_aleatoire
30,71,1766,25.35211267605634,0.9859154929577465,1.9238095238095239,0.7273665464841699,0.6247753185781425,0.847682417033621,panne_aleatoire
31,70,1750,24.82857142857143,0.9857142857142858,1.933930093776641,0.7281080098490702,0.6224361628709523,0.8478346979395218,panne_aleatoire
32,69,1734,24.26086956521739,0.9855072463768116,1.9284460052677788,0.7188477163579521,0.6217604433077641,0.8429984929946999,panne_aleatoire
33,68,1720,23.941176470588236,0.9852941176470589,1.9348710990502036,0.7206866674739093,0.620895522388066,0.8436480017299836,panne_aleatoire
34,67,1714,23.82089552238806,0.9850746268656716,1.9337995337995337,0.72329644539125,0.622207146087749,0.8447470833744104,panne_aleatoire
35,66,1695,23.03030303030303,0.9848484848484849,1.9451923076923077,0.7192968829339064,0.6180419580419625,0.8424662504727581,panne_aleatoire
36,65,1693,23.26153846153846,0.9846153846153847,1.9107142857142858,0.7202747649266702,0.6253605769230808,0.8425366762630043,panne_aleatoire
37,64,1679,22.90625,0.984375,1.9288274449564773,0.7267160283215894,0.6229910714285745,0.8456338341857172,panne_aleatoire
38,63,1675,23.015873015873016,0.9841269841269841,1.9180327868852458,0.7254390981654926,0.6270011947431315,0.8446315519681884,panne_aleatoire
39,62,1670,23.161290322580644,0.9838709677419355,1.9010928961748634,0.7305508425232309,0.6321611140490045,0.8471379240182294,panne_aleatoire
40,61,1657,23.049180327868854,0.9836065573770492,1.8943502824858758,0.7307059866288048,0.6343624772313275,0.8469410178102567,panne_aleatoire
41,60,1640,22.733333333333334,0.9833333333333333,1.886031560490941,0.7302748473786178,0.6356214689265512,0.84640651815488,panne_aleatoire
42,59,1611,21.93220338983051,0.9830508474576272,1.9013914095583786,0.7267426291160102,0.630654587960253,0.8442922288550104,panne_aleatoire
43,58,1585,21.17241379310345,0.9827586206896551,1.917919799498747,0.7222880992171321,0.6257612421859201,0.8417498881611996,panne_aleatoire
44,57,1580,21.19298245614035,0.9824561403508771,1.8896103896103895,0.72362930866066,0.6314431913116074,0.8420034089638375,panne_aleatoire
45,56,1559,20.75,0.9821428571428571,1.9164983164983165,0.7285560759940412,0.62739177489177,0.8442011344418711,panne_aleatoire
46,55,1528,20.145454545454545,0.9818181818181818,1.9224318658280923,0.725390001104001,0.6248148148148097,0.8422367734862268,panne_aleatoire
47,54,1514,19.62962962962963,0.9814814814814815,1.941944847605225,0.721078715334942,0.6214185883997156,0.8395013161631141,panne_aleatoire
48,53,1513,19.62264150943396,0.9811320754716981,1.940422322775264,0.7220290051953727,0.6239114658925935,0.8395726858415707,panne_aleatoire
49,52,1487,19.0,0.9807692307692307,1.9662745098039216,0.7192593906219881,0.6186148818501714,0.8377137216720444,panne_aleatoire
50,51,1474,18.823529411764707,0.9803921568627451,1.9689795918367348,0.7273338170370397,0.6198431372548975,0.8412420702884876,panne_aleatoire
51,50,1441,18.12,0.98,1.9642857142857142,0.7045931216469578,0.6175374149659825,0.8214570442000665,panne_aleatoire
52,49,1410,17.510204081632654,0.9795918367346939,1.9937943262411348,0.7028664725074273,0.611791383219952,0.8197664970781883,panne_aleatoire
53,48,1387,17.125,0.9791666666666666,2.0027752081406107,0.7050267323410019,0.610121158392433,0.8200933149605069,panne_aleatoire
54,47,1379,17.27659574468085,0.9787234042553191,1.9884057971014493,0.7256446281315613,0.6159111933394995,0.8385137108793514,panne_aleatoire
55,46,1378,17.52173913043478,0.9782608695652174,1.9090909090909092,0.7441922230395136,0.6289533011272136,0.8605204950228224,panne_aleatoire
56,45,1344,16.844444444444445,0.9777777777777777,1.9334038054968288,0.7430190207931492,0.6229461279461287,0.8595783120641558,panne_aleatoire
57,44,1333,16.727272727272727,0.9772727272727273,1.91140642303433,0.751695247019116,0.6271494009866121,0.8636751829243859,panne_aleatoire
58,43,1306,16.13953488372093,0.9767441860465116,1.9314750290360045,0.7538433895595333,0.6223145071982302,0.8644605864163959,panne_aleatoire
59,42,1287,15.904761904761905,0.9761904761904762,1.9548780487804878,0.760644189491756,0.6205187766163404,0.8675153051381506,panne_aleatoire
60,41,1273,15.560975609756097,0.975609756097561,1.9820512820512821,0.7628779188105527,0.6176829268292721,0.8686305387835566,panne_aleatoire
61,40,1249,15.0,0.975,1.9892037786774628,0.7625433819930387,0.6144230769230806,0.8680842442787018,panne_aleatoire
62,39,1241,15.128205128205128,0.9743589743589743,1.9715504978662874,0.7670098405099492,0.6208951866846641,0.8700193502220901,panne_aleatoire
63,38,1223,14.842105263157896,0.9736842105263158,1.9639639639639639,0.7704371913313932,0.6222143195827444,0.8713569758435274,panne_aleatoire
64,37,1194,14.054054054054054,0.972972972972973,1.9873015873015873,0.7653720295563073,0.6147397397397423,0.8684456579647722,panne_aleatoire
